point,X,Y
330,1534020.802,917738.1703
331,2054628.639,1273438.359
332,2210324.757,1340135.74
333,1215305.483,1182392.337
334,1425746.573,1277484.869
335,1930036.03,1456450.621
336,1858558.66,851958.1227
337,1499770.494,803584.622
338,1418911.662,771708.6469
339,1766718.243,982784.0301
340,1503035.28,904238.392
341,1821955.879,926408.1494
342,1474442.11,978063.1724
343,1618573.832,1186275.116
344,1732778.668,1107779.091
345,1791713.171,1150483.153
346,1965420.793,1293983.225
347,2046893.22,1348670.839
348,1874019.269,1246298.642
349,1949534.306,1354436.094
350,1953398.885,1511931.342
351,1248684.68,856767.6062
352,1314745.009,1012211.986
353,1604985.545,926970.3933
354,1640328.28,909220.2916
355,1123368.73,1469233.114
356,1875857.539,1023596.722
357,1459209.358,965103.3944
358,1890541.149,1123669.995
359,1247834.267,1091558.309
360,1252429.28,1052873.223
361,1683544.137,1192994.703
362,1789631.425,1164457.806
363,2120374.297,1377642.235
364,1849051.707,1180946.058
365,1944220.608,1350892.253
366,1802129.921,1108374.97
367,1850524.496,1086528.749
368,1605432.75,928241.6282
369,1870059.656,1144524.82
370,1758609.071,967352.4243
371,1660861.86,1068722.447
372,1735329.208,1014041.76
373,1802752.835,1107830.231
374,1136306.337,1074844.036
375,1688689.959,1202127.434
376,1949212.492,1149189.996
377,2044575.591,1351062.038
378,1449153.99,1067829.704
379,1153746.35,1110976.815
380,1643431.895,1171879.07
381,1782286.538,1066812.256
382,1618874.464,1147468.679
383,2182942.414,1319260.626
384,1826932.045,1174554.679
385,1789790.085,1196511.624
386,1938234.419,1257643.103
387,1912139.58,1177651.351
388,1975458.563,1272514.684
389,1166321.964,1007657.938
390,2183201.951,1320573.046
391,2169168.219,1384233.825
392,2136133.283,1406854.581
393,1957955.559,1239147.157
394,1272729.485,1260495.133
395,1243051.848,1211217.143
396,1424820.23,1258615.4
397,1600257.252,1256848.525
398,1633692.032,1327745.863
399,1848374.627,1263089.617
400,1900101.41,1336621.434
401,2183635.447,1554856.753
402,1219881.249,1487720.659
403,1501963.752,1349544.707
404,1473396.702,1295715.165
405,1312855.443,1446879.114
406,1825667.92,1488790.903
407,1838836.148,1554954.484
408,-456484.0689,1664654.69
409,-601900.8088,1639470.077
410,-697355.3779,1618524.078
411,-575567.736,1637728.1
412,-666610.5014,1701044.73
413,-930283.1713,1685616.295
414,-664237.6922,1709978.849
415,-1890096.183,1146688.474
416,194185.7881,664596.4679
417,274432.7335,729944.3764
418,315478.658,709951.1998
419,325793.3295,686396.3927
420,417266.0702,698194.039
421,-1127294.223,392792.5852
422,-2069115.878,2769951.847
423,-1864044.192,2646315.035
424,-2094565.046,2818603.832
425,-2027539.861,2766534.088
426,-2088838.535,2813528.52
427,-2105658.436,2839245.316
428,-2209340.69,2931672.592
429,-2154289.308,2850340.842
430,-2232657.394,3017468.62
431,-2050726.27,3028044.976
432,-1966698.34,3297238.612
433,-1716507.464,2799140.096
434,-1840160.984,2824919.865
435,-2209015.196,2856645.687
436,-1904274.268,2886125.178
437,-2062353.998,2999736.519
438,-1972479.105,2829466.492
439,-2081879.003,2877638.687
440,-2151139.171,2932428.394
441,-2147254.255,2984992.896
442,-2249402.938,3106600.288
443,-1751356.151,2939149.421
444,-1807587.728,2925119.648
445,-1917028.048,2939219.726
446,-1954521.795,2945729.535
447,-2003484.755,2975575.727
448,-2052949.883,3033996.89
449,-2249656.186,3106942.176
450,-1716369.577,2957746.095
451,-1946169.329,3128942.489
452,-1989009.186,3128847.063
453,-2010696.601,3164675.671
454,-2017719.57,3212346.731
455,-2060485.038,3250692.812
456,-1810243.893,2708466.164
457,-2034146.529,3239467.42
458,-2055237.195,3265179.612
459,-2112582.362,3307737.767
460,-1785291.271,3413282.91
461,-2024733.594,2731772.41
